Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2019,32,2019-08-05,41.3987,2.1534,Gràcia,28.280
2019,33,2019-08-12,41.3987,2.1534,Gràcia,20.076
2019,34,2019-08-19,41.3987,2.1534,Gràcia,21.245
2019,35,2019-08-26,41.3987,2.1534,Gràcia,24.831
2019,32,2019-08-05,41.4261,2.148,Vall Hebron,28.891
2019,33,2019-08-12,41.4261,2.148,Vall Hebron,17.162
2019,34,2019-08-19,41.4261,2.148,Vall Hebron,17.767
2019,35,2019-08-26,41.4261,2.148,Vall Hebron,19.843
2019,32,2019-08-05,41.3875,2.1151,Palau Reial,26.335
2019,33,2019-08-12,41.3875,2.1151,Palau Reial,17.172
2019,34,2019-08-19,41.3875,2.1151,Palau Reial,17.536
2019,35,2019-08-26,41.3875,2.1151,Palau Reial,21.374
2019,36,2019-09-02,41.4039,2.2045,Poblenou,22.800
2019,37,2019-09-09,41.4039,2.2045,Poblenou,21.040
2019,38,2019-09-16,41.4039,2.2045,Poblenou,33.514
2019,39,2019-09-23,41.4039,2.2045,Poblenou,25.024
2019,40,2019-09-30,41.4039,2.2045,Poblenou,34.416
2019,36,2019-09-02,41.3853,2.1538,Eixample,23.535
2019,37,2019-09-09,41.3853,2.1538,Eixample,23.863
2019,38,2019-09-16,41.3853,2.1538,Eixample,34.783
2019,39,2019-09-23,41.3853,2.1538,Eixample,27.423
2019,40,2019-09-30,41.3853,2.1538,Eixample,29.074
2019,36,2019-09-02,41.3987,2.1534,Gràcia,22.658
2019,37,2019-09-09,41.3987,2.1534,Gràcia,19.951
2019,38,2019-09-16,41.3987,2.1534,Gràcia,33.594
2019,39,2019-09-23,41.3987,2.1534,Gràcia,22.244
2019,40,2019-09-30,41.3987,2.1534,Gràcia,22.526
2019,36,2019-09-02,41.4261,2.148,Vall Hebron,17.852
2019,37,2019-09-09,41.4261,2.148,Vall Hebron,15.524
2019,38,2019-09-16,41.4261,2.148,Vall Hebron,24.334
2019,39,2019-09-23,41.4261,2.148,Vall Hebron,18.320
2019,40,2019-09-30,41.4261,2.148,Vall Hebron,18.409
2019,36,2019-09-02,41.3875,2.1151,Palau Reial,18.315
2019,37,2019-09-09,41.3875,2.1151,Palau Reial,14.933
2019,38,2019-09-16,41.3875,2.1151,Palau Reial,25.910
2019,39,2019-09-23,41.3875,2.1151,Palau Reial,19.734
2019,40,2019-09-30,41.3875,2.1151,Palau Reial,25.431
2019,41,2019-10-07,41.4039,2.2045,Poblenou,37.237
2019,42,2019-10-14,41.4039,2.2045,Poblenou,30.568
2019,43,2019-10-21,41.4039,2.2045,Poblenou,21.598
2019,44,2019-10-28,41.4039,2.2045,Poblenou,29.976
2019,41,2019-10-07,41.3853,2.1538,Eixample,29.431
2019,42,2019-10-14,41.3853,2.1538,Eixample,27.824
2019,43,2019-10-21,41.3853,2.1538,Eixample,22.539
2019,44,2019-10-28,41.3853,2.1538,Eixample,26.857
2019,41,2019-10-07,41.3987,2.1534,Gràcia,25.750
2019,42,2019-10-14,41.3987,2.1534,Gràcia,24.514
2019,43,2019-10-21,41.3987,2.1534,Gràcia,19.051
2019,44,2019-10-28,41.3987,2.1534,Gràcia,23.780
2019,41,2019-10-07,41.4261,2.148,Vall Hebron,21.099
2019,42,2019-10-14,41.4261,2.148,Vall Hebron,18.480
2019,43,2019-10-21,41.4261,2.148,Vall Hebron,13.691
2019,44,2019-10-28,41.4261,2.148,Vall Hebron,18.351
2019,41,2019-10-07,41.3875,2.1151,Palau Reial,21.515
2019,45,2019-11-04,41.4039,2.2045,Poblenou,22.544
2019,46,2019-11-11,41.4039,2.2045,Poblenou,15.847
2019,47,2019-11-18,41.4039,2.2045,Poblenou,21.074
2019,48,2019-11-25,41.4039,2.2045,Poblenou,21.823
2019,45,2019-11-04,41.3853,2.1538,Eixample,14.601
