Lat,Long,Ort,Uhrzeit,Wert
41.4261,2.148,Vall Hebron,02,26.513
41.4261,2.148,Vall Hebron,03,24.040
41.4261,2.148,Vall Hebron,04,22.020
41.4261,2.148,Vall Hebron,05,21.054
41.4261,2.148,Vall Hebron,06,23.217
41.4261,2.148,Vall Hebron,07,29.174
41.4261,2.148,Vall Hebron,08,36.460
41.4261,2.148,Vall Hebron,09,34.077
41.4261,2.148,Vall Hebron,10,27.623
41.4261,2.148,Vall Hebron,11,23.692
41.4261,2.148,Vall Hebron,12,20.922
41.4261,2.148,Vall Hebron,13,18.123
41.4261,2.148,Vall Hebron,14,16.146
41.4261,2.148,Vall Hebron,15,14.396
41.4261,2.148,Vall Hebron,16,13.847
41.4261,2.148,Vall Hebron,17,15.057
41.4261,2.148,Vall Hebron,18,18.327
41.4261,2.148,Vall Hebron,19,21.668
41.4261,2.148,Vall Hebron,20,25.063
41.4261,2.148,Vall Hebron,21,28.899
41.4261,2.148,Vall Hebron,22,32.031
41.4261,2.148,Vall Hebron,23,33.414
41.4261,2.148,Vall Hebron,24,34.220
