Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2019,35,2019-08-26,41.3987,2.1534,Gràcia,53.528
2019,32,2019-08-05,41.3864,2.1874,Ciutadella,63.704
2019,33,2019-08-12,41.3864,2.1874,Ciutadella,46.345
2019,34,2019-08-19,41.3864,2.1874,Ciutadella,59.192
2019,35,2019-08-26,41.3864,2.1874,Ciutadella,55.131
2019,32,2019-08-05,41.4261,2.148,Vall Hebron,68.091
2019,33,2019-08-12,41.4261,2.148,Vall Hebron,61.355
2019,34,2019-08-19,41.4261,2.148,Vall Hebron,71.421
2019,35,2019-08-26,41.4261,2.148,Vall Hebron,72.244
2019,32,2019-08-05,41.3875,2.1151,Palau Reial,44.603
2019,33,2019-08-12,41.3875,2.1151,Palau Reial,56.711
2019,34,2019-08-19,41.3875,2.1151,Palau Reial,69.488
2019,35,2019-08-26,41.3875,2.1151,Palau Reial,65.128
2019,36,2019-09-02,41.3853,2.1538,Eixample,41.178
2019,37,2019-09-09,41.3853,2.1538,Eixample,46.380
2019,38,2019-09-16,41.3853,2.1538,Eixample,37.442
2019,39,2019-09-23,41.3853,2.1538,Eixample,33.918
2019,40,2019-09-30,41.3853,2.1538,Eixample,28.912
2019,36,2019-09-02,41.3987,2.1534,Gràcia,49.447
2019,37,2019-09-09,41.3987,2.1534,Gràcia,60.970
2019,38,2019-09-16,41.3987,2.1534,Gràcia,46.790
2019,39,2019-09-23,41.3987,2.1534,Gràcia,42.896
2019,40,2019-09-30,41.3987,2.1534,Gràcia,38.264
2019,36,2019-09-02,41.3864,2.1874,Ciutadella,55.689
2019,37,2019-09-09,41.3864,2.1874,Ciutadella,67.054
2019,38,2019-09-16,41.3864,2.1874,Ciutadella,46.057
2019,39,2019-09-23,41.3864,2.1874,Ciutadella,43.510
2019,40,2019-09-30,41.3864,2.1874,Ciutadella,40.238
2019,36,2019-09-02,41.4261,2.148,Vall Hebron,62.150
2019,37,2019-09-09,41.4261,2.148,Vall Hebron,73.498
2019,38,2019-09-16,41.4261,2.148,Vall Hebron,59.964
2019,39,2019-09-23,41.4261,2.148,Vall Hebron,51.391
2019,40,2019-09-30,41.4261,2.148,Vall Hebron,48.760
