Ort,Datum,Wert
Eixample,2019-04-10 08,7
Eixample,2019-04-10 09,12
Eixample,2019-04-10 10,25
Eixample,2019-04-10 11,24
Eixample,2019-04-10 12,28
Eixample,2019-04-10 13,65
Eixample,2019-04-10 14,60
Eixample,2019-04-10 15,62
Eixample,2019-04-10 16,65
Eixample,2019-04-10 17,54
Eixample,2019-04-10 18,46
Eixample,2019-04-10 19,45
Eixample,2019-04-10 20,38
Eixample,2019-04-10 21,29
Eixample,2019-04-10 22,33
Eixample,2019-04-10 23,28
Eixample,2019-04-10 24,17
Eixample,2019-04-11 01,13
Eixample,2019-04-11 02,17
Eixample,2019-04-11 03,31
Eixample,2019-04-11 04,20
Eixample,2019-04-11 05,50
Eixample,2019-04-11 06,54
Eixample,2019-04-11 07,50
Eixample,2019-04-11 08,38
Eixample,2019-04-11 09,31
Eixample,2019-04-11 10,35
Eixample,2019-04-11 11,36
Eixample,2019-04-11 12,47
Eixample,2019-04-11 13,62
Eixample,2019-04-11 14,52
Eixample,2019-04-11 15,46
Eixample,2019-04-11 16,41
Eixample,2019-04-11 17,64
Eixample,2019-04-11 18,51
Eixample,2019-04-11 19,50
Eixample,2019-04-11 20,49
Eixample,2019-04-11 21,44
Eixample,2019-04-11 22,38
Eixample,2019-04-11 23,38
Eixample,2019-04-11 24,37
Eixample,2019-04-12 01,43
Eixample,2019-04-12 02,40
Eixample,2019-04-12 03,38
Eixample,2019-04-12 04,35
Eixample,2019-04-12 05,42
Eixample,2019-04-12 06,62
Eixample,2019-04-12 07,55
Eixample,2019-04-12 08,31
Eixample,2019-04-12 09,29
Eixample,2019-04-12 10,34
Eixample,2019-04-12 11,43
Eixample,2019-04-12 12,21
Eixample,2019-04-12 13,39
Eixample,2019-04-12 14,40
Eixample,2019-04-12 15,51
Eixample,2019-04-12 16,55
Eixample,2019-04-12 17,69
Eixample,2019-04-12 18,79
Eixample,2019-04-12 19,68
Eixample,2019-04-12 20,62
Eixample,2019-04-12 21,46
Eixample,2019-04-12 22,67
Eixample,2019-04-12 23,59
Eixample,2019-04-12 24,66
Eixample,2019-04-13 01,55
Eixample,2019-04-13 02,56
Eixample,2019-04-13 03,55
Eixample,2019-04-13 04,66
Eixample,2019-04-13 05,56
Eixample,2019-04-13 06,61
Eixample,2019-04-13 07,60
Eixample,2019-04-13 08,39
Eixample,2019-04-13 09,42
Eixample,2019-04-13 10,47
Eixample,2019-04-13 11,38
Eixample,2019-04-13 12,22
Eixample,2019-04-13 13,47
Eixample,2019-04-13 14,54
Eixample,2019-04-13 15,53
Eixample,2019-04-13 16,96
Eixample,2019-04-13 17,94
Eixample,2019-04-13 18,112
Eixample,2019-04-13 19,109
Eixample,2019-04-13 20,92
Eixample,2019-04-13 21,83
Eixample,2019-04-13 22,75
Eixample,2019-04-13 23,81
Eixample,2019-04-13 24,81
Eixample,2019-04-14 01,87
Eixample,2019-04-14 02,81
Eixample,2019-04-14 03,77
Eixample,2019-04-14 04,42
Eixample,2019-04-14 05,12
Eixample,2019-04-14 06,38
Eixample,2019-04-14 07,32
Eixample,2019-04-14 08,34
Eixample,2019-04-14 09,48
Eixample,2019-04-14 10,64
Eixample,2019-04-14 11,80
Eixample,2019-04-14 12,91
Eixample,2019-04-14 13,89
Eixample,2019-04-14 14,90
Eixample,2019-04-14 15,90
Eixample,2019-04-14 16,95
Eixample,2019-04-14 17,92
Eixample,2019-04-14 18,92
Eixample,2019-04-14 19,82
Eixample,2019-04-14 20,83
Eixample,2019-04-14 21,83
Eixample,2019-04-14 22,80
Eixample,2019-04-14 23,75
Eixample,2019-04-14 24,77
Eixample,2019-04-15 01,77
Eixample,2019-04-15 02,61
Eixample,2019-04-15 03,55
Eixample,2019-04-15 04,60
Eixample,2019-04-15 05,43
Eixample,2019-04-15 06,47
Eixample,2019-04-15 07,41
Eixample,2019-04-15 08,20
Eixample,2019-04-15 09,34
Eixample,2019-04-15 10,39
Eixample,2019-04-15 11,69
Eixample,2019-04-15 12,77
Eixample,2019-04-15 13,82
Eixample,2019-04-15 14,84
Eixample,2019-04-15 15,86
Eixample,2019-04-15 16,86
Eixample,2019-04-15 17,82
Eixample,2019-04-15 18,86
Eixample,2019-04-15 19,82
Eixample,2019-04-15 20,78
Eixample,2019-04-15 21,79
Eixample,2019-04-15 22,89
Eixample,2019-04-15 23,88
Eixample,2019-04-15 24,90
Eixample,2019-04-16 01,77
Eixample,2019-04-16 02,74
Eixample,2019-04-16 03,78
Eixample,2019-04-16 04,63
Eixample,2019-04-16 05,77
Eixample,2019-04-16 06,68
Eixample,2019-04-16 07,56
Eixample,2019-04-16 08,30
Eixample,2019-04-16 09,23
Eixample,2019-04-16 10,40
Eixample,2019-04-16 11,50
Eixample,2019-04-16 12,74
Eixample,2019-04-16 13,76
Eixample,2019-04-16 14,83
Eixample,2019-04-16 15,92
Eixample,2019-04-16 16,95
Eixample,2019-04-16 17,91
Eixample,2019-04-16 18,71
Eixample,2019-04-16 19,65
Eixample,2019-04-16 20,74
Eixample,2019-04-16 21,74
Eixample,2019-04-16 22,92
Eixample,2019-04-16 23,83
Eixample,2019-04-16 24,73
Eixample,2019-04-17 01,72
Eixample,2019-04-17 02,78
Eixample,2019-04-17 03,84
Eixample,2019-04-17 04,59
Eixample,2019-04-17 05,46
Eixample,2019-04-17 06,27
Eixample,2019-04-17 07,15
Eixample,2019-04-17 08,3
Eixample,2019-04-17 09,11
Eixample,2019-04-17 10,30
Eixample,2019-04-17 11,63
Eixample,2019-04-17 12,69
Eixample,2019-04-17 13,69
Eixample,2019-04-17 14,77
Eixample,2019-04-17 15,79
Eixample,2019-04-17 16,85
Eixample,2019-04-17 17,92
Eixample,2019-04-17 18,84
Eixample,2019-04-17 19,77
Eixample,2019-04-17 20,73
Eixample,2019-04-17 21,68
Eixample,2019-04-17 22,77
Eixample,2019-04-17 23,79
Eixample,2019-04-17 24,86
Eixample,2019-04-18 01,87
Eixample,2019-04-18 02,88
Eixample,2019-04-18 03,92
Eixample,2019-04-18 04,90
Eixample,2019-04-18 05,95
Eixample,2019-04-18 06,92
Eixample,2019-04-18 07,65
Eixample,2019-04-18 08,58
Eixample,2019-04-18 09,53
Eixample,2019-04-18 10,63
Eixample,2019-04-18 11,78
Eixample,2019-04-18 12,68
Eixample,2019-04-18 13,71
Eixample,2019-04-18 14,81
Eixample,2019-04-18 15,83
Eixample,2019-04-18 16,97
Eixample,2019-04-18 17,97
Eixample,2019-04-18 18,97
Eixample,2019-04-18 19,97
Eixample,2019-04-18 20,97
Eixample,2019-04-18 21,89
Eixample,2019-04-18 22,89
Eixample,2019-04-18 23,90
Eixample,2019-04-18 24,95
Eixample,2019-04-19 01,102
Eixample,2019-04-19 02,109
Eixample,2019-04-19 03,109
Eixample,2019-04-19 04,105
Eixample,2019-04-19 05,111
Eixample,2019-04-19 06,111
Eixample,2019-04-19 07,106
Eixample,2019-04-19 08,106
Eixample,2019-04-19 09,100
Eixample,2019-04-19 10,104
Eixample,2019-04-19 11,101
Eixample,2019-04-19 12,100
Eixample,2019-04-19 13,104
Eixample,2019-04-19 14,114
Eixample,2019-04-19 15,113
Eixample,2019-04-19 16,120
Eixample,2019-04-19 17,125
Eixample,2019-04-19 18,126
Eixample,2019-04-19 19,127
Eixample,2019-04-19 20,122
Eixample,2019-04-19 21,104
Eixample,2019-04-19 22,96
Eixample,2019-04-19 23,106
Eixample,2019-04-19 24,117
Eixample,2019-04-20 01,126
Eixample,2019-04-20 02,129
Eixample,2019-04-20 03,131
Eixample,2019-04-20 04,126
Eixample,2019-04-20 05,130
Eixample,2019-04-20 06,128
Eixample,2019-04-20 07,124
Eixample,2019-04-20 08,120
Eixample,2019-04-20 09,122
Eixample,2019-04-20 10,112
Eixample,2019-04-20 11,99
Eixample,2019-04-20 12,103
Eixample,2019-04-20 13,115
Eixample,2019-04-20 14,112
Eixample,2019-04-20 15,107
Eixample,2019-04-20 16,106
Eixample,2019-04-20 17,112
Eixample,2019-04-20 18,112
Eixample,2019-04-20 19,103
Eixample,2019-04-20 20,93
Eixample,2019-04-20 21,99
Eixample,2019-04-20 22,97
Eixample,2019-04-20 23,98
Eixample,2019-04-20 24,91
Eixample,2019-04-21 01,95
Eixample,2019-04-21 02,110
Eixample,2019-04-21 03,105
Eixample,2019-04-21 04,104
Eixample,2019-04-21 05,110
Eixample,2019-04-21 06,112
Eixample,2019-04-21 07,116
Eixample,2019-04-21 08,105
Eixample,2019-04-21 09,106
Eixample,2019-04-21 10,112
Eixample,2019-04-21 11,106
Eixample,2019-04-21 12,104
Eixample,2019-04-21 13,110
Eixample,2019-04-21 14,104
Eixample,2019-04-21 15,110
Eixample,2019-04-21 16,114
Eixample,2019-04-21 17,114
Eixample,2019-04-21 18,117
Eixample,2019-04-21 19,113
Eixample,2019-04-21 20,104
Eixample,2019-04-21 21,95
Eixample,2019-04-21 22,107
Eixample,2019-04-21 23,110
Eixample,2019-04-21 24,111
Eixample,2019-04-22 01,113
Eixample,2019-04-22 02,113
Eixample,2019-04-22 03,110
Eixample,2019-04-22 04,115
Eixample,2019-04-22 05,114
Eixample,2019-04-22 06,110
Eixample,2019-04-22 07,113
Eixample,2019-04-22 08,111
Eixample,2019-04-22 09,99
Eixample,2019-04-22 10,96
Eixample,2019-04-22 11,96
Eixample,2019-04-22 12,98
Eixample,2019-04-22 13,91
Eixample,2019-04-22 14,87
Eixample,2019-04-22 15,84
Eixample,2019-04-22 16,90
Eixample,2019-04-22 17,94
Eixample,2019-04-22 18,88
Eixample,2019-04-22 19,95
Eixample,2019-04-22 20,82
Eixample,2019-04-22 21,85
Eixample,2019-04-22 22,91
Eixample,2019-04-22 23,94
Eixample,2019-04-22 24,87
Eixample,2019-04-23 01,61
Eixample,2019-04-23 02,56
Eixample,2019-04-23 03,53
Eixample,2019-04-23 04,34
Eixample,2019-04-23 05,36
Eixample,2019-04-23 06,20
Eixample,2019-04-23 07,6
Eixample,2019-04-23 08,2
Eixample,2019-04-23 09,10
Eixample,2019-04-23 10,17
Eixample,2019-04-23 11,NA
Eixample,2019-04-23 12,NA
Eixample,2019-04-23 13,NA
Eixample,2019-04-23 14,NA
Eixample,2019-04-23 15,54
Eixample,2019-04-23 16,60
Eixample,2019-04-23 17,64
Eixample,2019-04-23 18,64
Eixample,2019-04-23 19,62
Eixample,2019-04-23 20,61
Eixample,2019-04-23 21,65
Eixample,2019-04-23 22,47
Eixample,2019-04-23 23,41
Eixample,2019-04-23 24,47
Eixample,2019-04-24 01,44
Eixample,2019-04-24 02,69
Eixample,2019-04-24 03,74
Eixample,2019-04-24 04,79
Eixample,2019-04-24 05,74
Eixample,2019-04-24 06,64
Eixample,2019-04-24 07,32
Eixample,2019-04-24 08,26
Eixample,2019-04-24 09,38
Eixample,2019-04-24 10,38
Eixample,2019-04-24 11,52
Eixample,2019-04-24 12,55
Eixample,2019-04-24 13,52
Eixample,2019-04-24 14,60
Eixample,2019-04-24 15,76
Eixample,2019-04-24 16,85
Eixample,2019-04-24 17,85
Eixample,2019-04-24 18,87
Eixample,2019-04-24 19,83
Eixample,2019-04-24 20,78
Eixample,2019-04-24 21,56
Eixample,2019-04-24 22,46
Eixample,2019-04-24 23,63
Eixample,2019-04-24 24,66
Eixample,2019-04-25 01,78
Eixample,2019-04-25 02,85
Eixample,2019-04-25 03,83
Eixample,2019-04-25 04,79
Eixample,2019-04-25 05,83
Eixample,2019-04-25 06,75
Eixample,2019-04-25 07,62
Eixample,2019-04-25 08,42
Eixample,2019-04-25 09,37
Eixample,2019-04-25 10,49
