Ort,Datum,Wert
Poblenou,2019-04-09 20,65
Poblenou,2019-04-09 21,81
Poblenou,2019-04-09 22,62
Poblenou,2019-04-09 23,63
Poblenou,2019-04-09 24,63
Poblenou,2019-04-10 01,50
Poblenou,2019-04-10 02,51
Poblenou,2019-04-10 03,33
Poblenou,2019-04-10 04,21
Poblenou,2019-04-10 05,22
Poblenou,2019-04-10 06,13
Poblenou,2019-04-10 07,21
Poblenou,2019-04-10 08,60
Poblenou,2019-04-10 09,54
Poblenou,2019-04-10 10,42
Poblenou,2019-04-10 11,31
Poblenou,2019-04-10 12,30
Poblenou,2019-04-10 13,43
Poblenou,2019-04-10 14,59
Poblenou,2019-04-10 15,51
Poblenou,2019-04-10 16,34
Poblenou,2019-04-10 17,35
Poblenou,2019-04-10 18,41
Poblenou,2019-04-10 19,35
Poblenou,2019-04-10 20,83
Poblenou,2019-04-10 21,62
Poblenou,2019-04-10 22,67
Poblenou,2019-04-10 23,73
Poblenou,2019-04-10 24,85
Poblenou,2019-04-11 01,78
Poblenou,2019-04-11 02,67
Poblenou,2019-04-11 03,57
Poblenou,2019-04-11 04,50
Poblenou,2019-04-11 05,26
Poblenou,2019-04-11 06,19
Poblenou,2019-04-11 07,24
Poblenou,2019-04-11 08,40
Poblenou,2019-04-11 09,43
Poblenou,2019-04-11 10,40
Poblenou,2019-04-11 11,33
Poblenou,2019-04-11 12,27
Poblenou,2019-04-11 13,23
Poblenou,2019-04-11 14,19
Poblenou,2019-04-11 15,21
Poblenou,2019-04-11 16,29
Poblenou,2019-04-11 17,25
Poblenou,2019-04-11 18,27
Poblenou,2019-04-11 19,23
Poblenou,2019-04-11 20,28
Poblenou,2019-04-11 21,26
Poblenou,2019-04-11 22,34
Poblenou,2019-04-11 23,33
Poblenou,2019-04-11 24,38
Poblenou,2019-04-12 01,62
Poblenou,2019-04-12 02,66
Poblenou,2019-04-12 03,64
Poblenou,2019-04-12 04,64
Poblenou,2019-04-12 05,48
Poblenou,2019-04-12 06,24
Poblenou,2019-04-12 07,22
Poblenou,2019-04-12 08,38
Poblenou,2019-04-12 09,48
Poblenou,2019-04-12 10,42
Poblenou,2019-04-12 11,32
Poblenou,2019-04-12 12,35
Poblenou,2019-04-12 13,31
Poblenou,2019-04-12 14,40
Poblenou,2019-04-12 15,33
Poblenou,2019-04-12 16,29
Poblenou,2019-04-12 17,26
Poblenou,2019-04-12 18,27
Poblenou,2019-04-12 19,27
Poblenou,2019-04-12 20,26
Poblenou,2019-04-12 21,20
Poblenou,2019-04-12 22,21
Poblenou,2019-04-12 23,22
Poblenou,2019-04-12 24,26
Poblenou,2019-04-13 01,25
Poblenou,2019-04-13 02,22
Poblenou,2019-04-13 03,28
Poblenou,2019-04-13 04,59
Poblenou,2019-04-13 05,50
Poblenou,2019-04-13 06,41
Poblenou,2019-04-13 07,42
Poblenou,2019-04-13 08,49
Poblenou,2019-04-13 09,46
Poblenou,2019-04-13 10,39
Poblenou,2019-04-13 11,26
Poblenou,2019-04-13 12,25
Poblenou,2019-04-13 13,20
Poblenou,2019-04-13 14,15
Poblenou,2019-04-13 15,25
Poblenou,2019-04-13 16,19
Poblenou,2019-04-13 17,23
Poblenou,2019-04-13 18,19
Poblenou,2019-04-13 19,21
Poblenou,2019-04-13 20,24
