Monat,Lat,Long,Ort,Durchschnitt
2020-10,41.3788,2.1331,Sants,35.700
2020-10,41.3853,2.1538,Eixample,73.561
2020-10,41.3987,2.1534,Gràcia,53.925
2020-10,41.3864,2.1874,Ciutadella,34.727
2020-10,41.4261,2.148,Vall Hebron,33.387
2020-10,41.3875,2.1151,Palau Reial,20.283
2020-11,41.4039,2.2045,Poblenou,66.064
2020-11,41.3788,2.1331,Sants,48.910
2020-11,41.3853,2.1538,Eixample,92.923
2020-11,41.3987,2.1534,Gràcia,66.428
2020-11,41.3864,2.1874,Ciutadella,51.626
2020-11,41.4261,2.148,Vall Hebron,42.183
2020-11,41.3875,2.1151,Palau Reial,35.657
