Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2019,36,2019-09-02,41.4261,2.148,Vall Hebron,2.254
2019,37,2019-09-09,41.4261,2.148,Vall Hebron,1.268
2019,38,2019-09-16,41.4261,2.148,Vall Hebron,1.449
2019,39,2019-09-23,41.4261,2.148,Vall Hebron,1.472
2019,40,2019-09-30,41.4261,2.148,Vall Hebron,1.567
2019,36,2019-09-02,41.3875,2.1151,Palau Reial,1.758
2019,37,2019-09-09,41.3875,2.1151,Palau Reial,1.313
2019,38,2019-09-16,41.3875,2.1151,Palau Reial,1.826
2019,39,2019-09-23,41.3875,2.1151,Palau Reial,1.572
2019,40,2019-09-30,41.3875,2.1151,Palau Reial,1.515
2019,41,2019-10-07,41.3853,2.1538,Eixample,1.061
2019,42,2019-10-14,41.3853,2.1538,Eixample,1.311
2019,43,2019-10-21,41.3853,2.1538,Eixample,1.312
2019,44,2019-10-28,41.3853,2.1538,Eixample,2.810
2019,41,2019-10-07,41.3987,2.1534,Gràcia,1.072
2019,42,2019-10-14,41.3987,2.1534,Gràcia,1.838
2019,43,2019-10-21,41.3987,2.1534,Gràcia,4.746
2019,44,2019-10-28,41.3987,2.1534,Gràcia,2.649
2019,41,2019-10-07,41.4261,2.148,Vall Hebron,1.528
2019,42,2019-10-14,41.4261,2.148,Vall Hebron,1.857
2019,43,2019-10-21,41.4261,2.148,Vall Hebron,1.071
2019,44,2019-10-28,41.4261,2.148,Vall Hebron,1.095
2019,41,2019-10-07,41.3875,2.1151,Palau Reial,1.185
2019,42,2019-10-14,41.3875,2.1151,Palau Reial,1.113
2019,43,2019-10-21,41.3875,2.1151,Palau Reial,1.037
2019,44,2019-10-28,41.3875,2.1151,Palau Reial,1.202
2019,45,2019-11-04,41.3853,2.1538,Eixample,2.066
2019,46,2019-11-11,41.3853,2.1538,Eixample,2.332
2019,47,2019-11-18,41.3853,2.1538,Eixample,2.767
2019,48,2019-11-25,41.3853,2.1538,Eixample,2.059
2019,45,2019-11-04,41.3987,2.1534,Gràcia,2.065
2019,46,2019-11-11,41.3987,2.1534,Gràcia,1.852
2019,47,2019-11-18,41.3987,2.1534,Gràcia,2.066
2019,48,2019-11-25,41.3987,2.1534,Gràcia,1.335
2019,45,2019-11-04,41.4261,2.148,Vall Hebron,1.026
2019,46,2019-11-11,41.4261,2.148,Vall Hebron,1.012
2019,47,2019-11-18,41.4261,2.148,Vall Hebron,1.098
2019,48,2019-11-25,41.4261,2.148,Vall Hebron,1.133
2019,45,2019-11-04,41.3875,2.1151,Palau Reial,1.064
2019,46,2019-11-11,41.3875,2.1151,Palau Reial,1.126
2019,47,2019-11-18,41.3875,2.1151,Palau Reial,1.430
2019,48,2019-11-25,41.3875,2.1151,Palau Reial,1.149
2019,49,2019-12-02,41.3853,2.1538,Eixample,1.357
2019,50,2019-12-09,41.3853,2.1538,Eixample,1.000
2019,51,2019-12-16,41.3853,2.1538,Eixample,1.531
