Jahr,Wochennummer,Lat,Long,Ort,Durchschnitt
2019,32,41.4039,2.2045,Poblenou,34.242
2019,33,41.4039,2.2045,Poblenou,30.383
2019,34,41.4039,2.2045,Poblenou,28.382
2019,35,41.4039,2.2045,Poblenou,42.778
2019,32,41.3788,2.1331,Sants,25.029
2019,33,41.3788,2.1331,Sants,9.904
2019,34,41.3788,2.1331,Sants,18.953
2019,35,41.3788,2.1331,Sants,33.290
2019,32,41.3853,2.1538,Eixample,60.329
2019,33,41.3853,2.1538,Eixample,44.773
2019,34,41.3853,2.1538,Eixample,57.284
2019,35,41.3853,2.1538,Eixample,82.294
2019,32,41.3987,2.1534,Gràcia,44.568
2019,33,41.3987,2.1534,Gràcia,32.647
2019,34,41.3987,2.1534,Gràcia,46.701
2019,35,41.3987,2.1534,Gràcia,65.203
2019,32,41.3864,2.1874,Ciutadella,32.187
2019,33,41.3864,2.1874,Ciutadella,25.611
2019,34,41.3864,2.1874,Ciutadella,26.054
2019,35,41.3864,2.1874,Ciutadella,37.733
2019,32,41.4261,2.148,Vall Hebron,28.626
2019,33,41.4261,2.148,Vall Hebron,20.034
2019,34,41.4261,2.148,Vall Hebron,26.734
2019,35,41.4261,2.148,Vall Hebron,32.782
2019,32,41.3875,2.1151,Palau Reial,24.647
2019,33,41.3875,2.1151,Palau Reial,21.872
2019,34,41.3875,2.1151,Palau Reial,23.701
2019,35,41.3875,2.1151,Palau Reial,35.586
2019,36,41.4039,2.2045,Poblenou,33.212
2019,37,41.4039,2.2045,Poblenou,33.637
2019,38,41.4039,2.2045,Poblenou,58.442
2019,39,41.4039,2.2045,Poblenou,44.764
2019,40,41.4039,2.2045,Poblenou,44.478
2019,36,41.3788,2.1331,Sants,29.552
2019,37,41.3788,2.1331,Sants,35.483
2019,38,41.3788,2.1331,Sants,58.449
2019,39,41.3788,2.1331,Sants,32.253
2019,40,41.3788,2.1331,Sants,31.668
2019,36,41.3853,2.1538,Eixample,74.096
2019,37,41.3853,2.1538,Eixample,87.674
2019,38,41.3853,2.1538,Eixample,119.724
2019,39,41.3853,2.1538,Eixample,83.007
2019,40,41.3853,2.1538,Eixample,80.381
2019,36,41.3987,2.1534,Gràcia,55.622
2019,37,41.3987,2.1534,Gràcia,54.542
2019,38,41.3987,2.1534,Gràcia,82.319
2019,39,41.3987,2.1534,Gràcia,55.281
2019,40,41.3987,2.1534,Gràcia,57.655
2019,36,41.3864,2.1874,Ciutadella,26.050
2019,37,41.3864,2.1874,Ciutadella,26.523
2019,38,41.3864,2.1874,Ciutadella,51.726
2019,39,41.3864,2.1874,Ciutadella,41.603
2019,40,41.3864,2.1874,Ciutadella,40.359
2019,36,41.4261,2.148,Vall Hebron,28.772
2019,37,41.4261,2.148,Vall Hebron,24.327
2019,38,41.4261,2.148,Vall Hebron,45.551
2019,39,41.4261,2.148,Vall Hebron,32.975
2019,40,41.4261,2.148,Vall Hebron,31.648
2019,36,41.3875,2.1151,Palau Reial,24.380
2019,37,41.3875,2.1151,Palau Reial,25.930
2019,38,41.3875,2.1151,Palau Reial,52.355
2019,39,41.3875,2.1151,Palau Reial,33.722
2019,40,41.3875,2.1151,Palau Reial,39.050
2019,41,41.4039,2.2045,Poblenou,53.386
2019,42,41.4039,2.2045,Poblenou,63.891
2019,43,41.4039,2.2045,Poblenou,56.094
2019,44,41.4039,2.2045,Poblenou,84.435
2019,41,41.3788,2.1331,Sants,36.576
2019,42,41.3788,2.1331,Sants,42.683
2019,43,41.3788,2.1331,Sants,46.984
2019,44,41.3788,2.1331,Sants,58.893
2019,41,41.3853,2.1538,Eixample,81.239
2019,42,41.3853,2.1538,Eixample,96.833
2019,43,41.3853,2.1538,Eixample,107.574
2019,44,41.3853,2.1538,Eixample,117.857
2019,41,41.3987,2.1534,Gràcia,60.653
2019,42,41.3987,2.1534,Gràcia,66.097
2019,43,41.3987,2.1534,Gràcia,72.008
2019,44,41.3987,2.1534,Gràcia,89.964
