Lat,Long,Ort,Tag,Wert
41.3987,2.1534,Gràcia,23,56.770
41.3987,2.1534,Gràcia,24,59.565
41.3987,2.1534,Gràcia,25,59.822
41.3987,2.1534,Gràcia,26,54.136
41.3987,2.1534,Gràcia,27,53.906
41.3987,2.1534,Gràcia,28,55.420
41.3987,2.1534,Gràcia,29,61.411
41.3987,2.1534,Gràcia,30,65.929
41.3987,2.1534,Gràcia,31,75.443
41.4039,2.2045,Poblenou,1,41.530
41.4039,2.2045,Poblenou,2,48.527
41.4039,2.2045,Poblenou,3,46.395
41.4039,2.2045,Poblenou,4,40.830
41.4039,2.2045,Poblenou,5,38.094
41.4039,2.2045,Poblenou,6,38.125
41.4039,2.2045,Poblenou,7,43.117
41.4039,2.2045,Poblenou,8,46.636
41.4039,2.2045,Poblenou,9,51.736
41.4039,2.2045,Poblenou,10,49.002
41.4039,2.2045,Poblenou,11,43.343
41.4039,2.2045,Poblenou,12,41.313
41.4039,2.2045,Poblenou,13,47.781
41.4039,2.2045,Poblenou,14,47.832
41.4039,2.2045,Poblenou,15,41.936
41.4039,2.2045,Poblenou,16,44.767
41.4039,2.2045,Poblenou,17,52.233
41.4039,2.2045,Poblenou,18,49.326
41.4039,2.2045,Poblenou,19,48.828
41.4039,2.2045,Poblenou,20,44.449
41.4039,2.2045,Poblenou,21,43.511
41.4039,2.2045,Poblenou,22,39.718
41.4039,2.2045,Poblenou,23,48.577
41.4039,2.2045,Poblenou,24,55.973
41.4039,2.2045,Poblenou,25,49.292
41.4039,2.2045,Poblenou,26,44.076
41.4039,2.2045,Poblenou,27,44.725
41.4039,2.2045,Poblenou,28,52.724
41.4039,2.2045,Poblenou,29,51.836
41.4039,2.2045,Poblenou,30,55.322
41.4039,2.2045,Poblenou,31,60.549
41.4261,2.148,Vall Hebron,1,37.058
41.4261,2.148,Vall Hebron,2,36.278
41.4261,2.148,Vall Hebron,3,33.014
41.4261,2.148,Vall Hebron,4,31.885
41.4261,2.148,Vall Hebron,5,36.558
41.4261,2.148,Vall Hebron,6,33.481
41.4261,2.148,Vall Hebron,7,32.849
41.4261,2.148,Vall Hebron,8,37.058
41.4261,2.148,Vall Hebron,9,35.706
41.4261,2.148,Vall Hebron,10,36.047
41.4261,2.148,Vall Hebron,11,33.555
41.4261,2.148,Vall Hebron,12,34.002
41.4261,2.148,Vall Hebron,13,33.534
41.4261,2.148,Vall Hebron,14,33.348
41.4261,2.148,Vall Hebron,15,26.596
41.4261,2.148,Vall Hebron,16,30.429
41.4261,2.148,Vall Hebron,17,37.500
41.4261,2.148,Vall Hebron,18,37.011
41.4261,2.148,Vall Hebron,19,37.729
41.4261,2.148,Vall Hebron,20,31.146
41.4261,2.148,Vall Hebron,21,31.127
41.4261,2.148,Vall Hebron,22,31.350
41.4261,2.148,Vall Hebron,23,33.130
41.4261,2.148,Vall Hebron,24,47.073
41.4261,2.148,Vall Hebron,25,70.914
41.4261,2.148,Vall Hebron,26,80.977
41.4261,2.148,Vall Hebron,27,35.005
41.4261,2.148,Vall Hebron,28,40.995
41.4261,2.148,Vall Hebron,29,37.462
41.4261,2.148,Vall Hebron,30,40.546
41.4261,2.148,Vall Hebron,31,34.553
