Ort,Datum,Wert
Poblenou,2019-04-09 20,12
Poblenou,2019-04-09 21,10
Poblenou,2019-04-09 22,10
Poblenou,2019-04-09 23,12
Poblenou,2019-04-09 24,14
Poblenou,2019-04-10 01,11
Poblenou,2019-04-10 02,12
Poblenou,2019-04-10 03,9
Poblenou,2019-04-10 04,7
Poblenou,2019-04-10 05,9
Poblenou,2019-04-10 06,5
Poblenou,2019-04-10 07,7
Poblenou,2019-04-10 08,15
Poblenou,2019-04-10 09,18
Poblenou,2019-04-10 10,22
Poblenou,2019-04-10 11,20
Poblenou,2019-04-10 12,25
Poblenou,2019-04-10 13,24
Poblenou,2019-04-10 14,NA
Poblenou,2019-04-10 15,30
Poblenou,2019-04-10 16,22
Poblenou,2019-04-10 17,24
Poblenou,2019-04-10 18,12
Poblenou,2019-04-10 19,6
Poblenou,2019-04-10 20,13
Poblenou,2019-04-10 21,14
Poblenou,2019-04-10 22,16
Poblenou,2019-04-10 23,19
Poblenou,2019-04-10 24,25
Poblenou,2019-04-11 01,20
Poblenou,2019-04-11 02,21
Poblenou,2019-04-11 03,19
Poblenou,2019-04-11 04,15
Poblenou,2019-04-11 05,12
Poblenou,2019-04-11 06,9
Poblenou,2019-04-11 07,8
Poblenou,2019-04-11 08,17
Poblenou,2019-04-11 09,17
Poblenou,2019-04-11 10,18
Poblenou,2019-04-11 11,16
Poblenou,2019-04-11 12,17
Poblenou,2019-04-11 13,15
Poblenou,2019-04-11 14,20
Poblenou,2019-04-11 15,14
Poblenou,2019-04-11 16,13
Poblenou,2019-04-11 17,16
Poblenou,2019-04-11 18,18
Poblenou,2019-04-11 19,17
Poblenou,2019-04-11 20,14
Poblenou,2019-04-11 21,15
Poblenou,2019-04-11 22,16
Poblenou,2019-04-11 23,16
Poblenou,2019-04-11 24,14
Poblenou,2019-04-12 01,17
Poblenou,2019-04-12 02,20
Poblenou,2019-04-12 03,19
Poblenou,2019-04-12 04,21
Poblenou,2019-04-12 05,19
Poblenou,2019-04-12 06,9
Poblenou,2019-04-12 07,11
Poblenou,2019-04-12 08,16
Poblenou,2019-04-12 09,21
Poblenou,2019-04-12 10,29
Poblenou,2019-04-12 11,27
Poblenou,2019-04-12 12,28
Poblenou,2019-04-12 13,32
Poblenou,2019-04-12 14,25
Poblenou,2019-04-12 15,25
Poblenou,2019-04-12 16,22
Poblenou,2019-04-12 17,24
Poblenou,2019-04-12 18,33
Poblenou,2019-04-12 19,50
Poblenou,2019-04-12 20,78
Poblenou,2019-04-12 21,33
Poblenou,2019-04-12 22,22
Poblenou,2019-04-12 23,25
Poblenou,2019-04-12 24,22
Poblenou,2019-04-13 01,18
Poblenou,2019-04-13 02,17
Poblenou,2019-04-13 03,15
Poblenou,2019-04-13 04,23
Poblenou,2019-04-13 05,28
Poblenou,2019-04-13 06,25
Poblenou,2019-04-13 07,27
Poblenou,2019-04-13 08,27
Poblenou,2019-04-13 09,30
Poblenou,2019-04-13 10,31
Poblenou,2019-04-13 11,25
Poblenou,2019-04-13 12,29
Poblenou,2019-04-13 13,33
Poblenou,2019-04-13 14,26
Poblenou,2019-04-13 15,27
Poblenou,2019-04-13 16,29
Poblenou,2019-04-13 17,27
Poblenou,2019-04-13 18,30
Poblenou,2019-04-13 19,28
Poblenou,2019-04-13 20,26
Poblenou,2019-04-13 21,27
Poblenou,2019-04-13 22,27
Poblenou,2019-04-13 23,33
Poblenou,2019-04-13 24,26
Poblenou,2019-04-14 01,23
Poblenou,2019-04-14 02,30
Poblenou,2019-04-14 03,31
Poblenou,2019-04-14 04,32
Poblenou,2019-04-14 05,28
Poblenou,2019-04-14 06,24
Poblenou,2019-04-14 07,24
Poblenou,2019-04-14 08,26
Poblenou,2019-04-14 09,26
Poblenou,2019-04-14 10,28
Poblenou,2019-04-14 11,35
Poblenou,2019-04-14 12,31
Poblenou,2019-04-14 13,26
Poblenou,2019-04-14 14,24
Poblenou,2019-04-14 15,24
Poblenou,2019-04-14 16,24
Poblenou,2019-04-14 17,21
Poblenou,2019-04-14 18,23
Poblenou,2019-04-14 19,24
Poblenou,2019-04-14 20,23
Poblenou,2019-04-14 21,23
Poblenou,2019-04-14 22,24
Poblenou,2019-04-14 23,20
Poblenou,2019-04-14 24,21
Poblenou,2019-04-15 01,24
Poblenou,2019-04-15 02,27
Poblenou,2019-04-15 03,25
Poblenou,2019-04-15 04,20
Poblenou,2019-04-15 05,18
Poblenou,2019-04-15 06,20
Poblenou,2019-04-15 07,23
Poblenou,2019-04-15 08,26
Poblenou,2019-04-15 09,26
Poblenou,2019-04-15 10,38
Poblenou,2019-04-15 11,27
Poblenou,2019-04-15 12,35
Poblenou,2019-04-15 13,31
Poblenou,2019-04-15 14,31
Poblenou,2019-04-15 15,26
Poblenou,2019-04-15 16,23
Poblenou,2019-04-15 17,24
Poblenou,2019-04-15 18,24
Poblenou,2019-04-15 19,28
Poblenou,2019-04-15 20,24
Poblenou,2019-04-15 21,24
Poblenou,2019-04-15 22,23
Poblenou,2019-04-15 23,19
Poblenou,2019-04-15 24,19
Poblenou,2019-04-16 01,20
Poblenou,2019-04-16 02,23
Poblenou,2019-04-16 03,23
Poblenou,2019-04-16 04,23
Poblenou,2019-04-16 05,23
Poblenou,2019-04-16 06,24
Poblenou,2019-04-16 07,22
Poblenou,2019-04-16 08,26
Poblenou,2019-04-16 09,34
Poblenou,2019-04-16 10,39
Poblenou,2019-04-16 11,41
Poblenou,2019-04-16 12,24
Poblenou,2019-04-16 13,21
Poblenou,2019-04-16 14,21
Poblenou,2019-04-16 15,20
Poblenou,2019-04-16 16,17
Poblenou,2019-04-16 17,19
Poblenou,2019-04-16 18,23
Poblenou,2019-04-16 19,24
Poblenou,2019-04-16 20,22
Poblenou,2019-04-16 21,19
Poblenou,2019-04-16 22,15
Poblenou,2019-04-16 23,13
Poblenou,2019-04-16 24,14
Poblenou,2019-04-17 01,12
Poblenou,2019-04-17 02,12
Poblenou,2019-04-17 03,11
Poblenou,2019-04-17 04,18
Poblenou,2019-04-17 05,19
Poblenou,2019-04-17 06,18
Poblenou,2019-04-17 07,22
Poblenou,2019-04-17 08,31
Poblenou,2019-04-17 09,42
Poblenou,2019-04-17 10,42
Poblenou,2019-04-17 11,15
Poblenou,2019-04-17 12,16
Poblenou,2019-04-17 13,18
Poblenou,2019-04-17 14,13
Poblenou,2019-04-17 15,12
Poblenou,2019-04-17 16,12
Poblenou,2019-04-17 17,12
Poblenou,2019-04-17 18,17
Poblenou,2019-04-17 19,17
Poblenou,2019-04-17 20,18
Poblenou,2019-04-17 21,19
Poblenou,2019-04-17 22,18
Poblenou,2019-04-17 23,18
Poblenou,2019-04-17 24,16
Poblenou,2019-04-18 01,16
Poblenou,2019-04-18 02,14
Poblenou,2019-04-18 03,12
Poblenou,2019-04-18 04,13
Poblenou,2019-04-18 05,11
Poblenou,2019-04-18 06,14
Poblenou,2019-04-18 07,10
Poblenou,2019-04-18 08,16
Poblenou,2019-04-18 09,21
Poblenou,2019-04-18 10,25
Poblenou,2019-04-18 11,20
Poblenou,2019-04-18 12,25
Poblenou,2019-04-18 13,28
Poblenou,2019-04-18 14,34
Poblenou,2019-04-18 15,31
Poblenou,2019-04-18 16,56
Poblenou,2019-04-18 17,45
Poblenou,2019-04-18 18,31
Poblenou,2019-04-18 19,34
Poblenou,2019-04-18 20,32
Poblenou,2019-04-18 21,35
Poblenou,2019-04-18 22,23
Poblenou,2019-04-18 23,22
Poblenou,2019-04-18 24,23
Poblenou,2019-04-19 01,24
Poblenou,2019-04-19 02,30
Poblenou,2019-04-19 03,27
Poblenou,2019-04-19 04,29
Poblenou,2019-04-19 05,24
Poblenou,2019-04-19 06,23
Poblenou,2019-04-19 07,25
Poblenou,2019-04-19 08,29
Poblenou,2019-04-19 09,33
Poblenou,2019-04-19 10,34
Poblenou,2019-04-19 11,35
Poblenou,2019-04-19 12,32
Poblenou,2019-04-19 13,47
Poblenou,2019-04-19 14,56
Poblenou,2019-04-19 15,43
Poblenou,2019-04-19 16,40
Poblenou,2019-04-19 17,54
Poblenou,2019-04-19 18,49
Poblenou,2019-04-19 19,51
Poblenou,2019-04-19 20,45
Poblenou,2019-04-19 21,38
Poblenou,2019-04-19 22,42
Poblenou,2019-04-19 23,40
Poblenou,2019-04-19 24,38
Poblenou,2019-04-20 01,35
Poblenou,2019-04-20 02,37
Poblenou,2019-04-20 03,34
Poblenou,2019-04-20 04,34
Poblenou,2019-04-20 05,33
Poblenou,2019-04-20 06,32
Poblenou,2019-04-20 07,31
Poblenou,2019-04-20 08,34
Poblenou,2019-04-20 09,40
Poblenou,2019-04-20 10,38
Poblenou,2019-04-20 11,45
Poblenou,2019-04-20 12,43
Poblenou,2019-04-20 13,35
Poblenou,2019-04-20 14,40
Poblenou,2019-04-20 15,43
Poblenou,2019-04-20 16,41
Poblenou,2019-04-20 17,38
Poblenou,2019-04-20 18,44
Poblenou,2019-04-20 19,36
Poblenou,2019-04-20 20,40
Poblenou,2019-04-20 21,19
Poblenou,2019-04-20 22,18
Poblenou,2019-04-20 23,13
Poblenou,2019-04-20 24,13
Poblenou,2019-04-21 01,16
Poblenou,2019-04-21 02,18
Poblenou,2019-04-21 03,27
Poblenou,2019-04-21 04,30
Poblenou,2019-04-21 05,30
Poblenou,2019-04-21 06,36
Poblenou,2019-04-21 07,29
Poblenou,2019-04-21 08,27
Poblenou,2019-04-21 09,24
Poblenou,2019-04-21 10,44
Poblenou,2019-04-21 11,46
Poblenou,2019-04-21 12,40
Poblenou,2019-04-21 13,37
Poblenou,2019-04-21 14,30
Poblenou,2019-04-21 15,36
Poblenou,2019-04-21 16,36
Poblenou,2019-04-21 17,46
Poblenou,2019-04-21 18,47
Poblenou,2019-04-21 19,47
Poblenou,2019-04-21 20,44
Poblenou,2019-04-21 21,40
Poblenou,2019-04-21 22,45
Poblenou,2019-04-21 23,40
Poblenou,2019-04-21 24,38
Poblenou,2019-04-22 01,40
Poblenou,2019-04-22 02,35
Poblenou,2019-04-22 03,42
Poblenou,2019-04-22 04,35
Poblenou,2019-04-22 05,42
Poblenou,2019-04-22 06,36
Poblenou,2019-04-22 07,41
Poblenou,2019-04-22 08,46
Poblenou,2019-04-22 09,52
Poblenou,2019-04-22 10,41
Poblenou,2019-04-22 11,48
Poblenou,2019-04-22 12,57
Poblenou,2019-04-22 13,62
Poblenou,2019-04-22 14,67
Poblenou,2019-04-22 15,63
Poblenou,2019-04-22 16,57
Poblenou,2019-04-22 17,56
Poblenou,2019-04-22 18,67
Poblenou,2019-04-22 19,61
Poblenou,2019-04-22 20,58
Poblenou,2019-04-22 21,63
Poblenou,2019-04-22 22,59
Poblenou,2019-04-22 23,60
Poblenou,2019-04-22 24,43
Poblenou,2019-04-23 01,52
Poblenou,2019-04-23 02,33
Poblenou,2019-04-23 03,26
Poblenou,2019-04-23 04,21
Poblenou,2019-04-23 05,14
Poblenou,2019-04-23 06,54
Poblenou,2019-04-23 07,86
Poblenou,2019-04-23 08,62
Poblenou,2019-04-23 09,48
Poblenou,2019-04-23 10,78
Poblenou,2019-04-23 11,42
Poblenou,2019-04-23 12,40
Poblenou,2019-04-23 13,57
Poblenou,2019-04-23 14,64
Poblenou,2019-04-23 15,81
Poblenou,2019-04-23 16,75
Poblenou,2019-04-23 17,70
Poblenou,2019-04-23 18,66
Poblenou,2019-04-23 19,54
Poblenou,2019-04-23 20,48
Poblenou,2019-04-23 21,43
Poblenou,2019-04-23 22,54
Poblenou,2019-04-23 23,45
Poblenou,2019-04-23 24,37
Poblenou,2019-04-24 01,36
Poblenou,2019-04-24 02,11
Poblenou,2019-04-24 03,14
Poblenou,2019-04-24 04,17
Poblenou,2019-04-24 05,22
Poblenou,2019-04-24 06,21
Poblenou,2019-04-24 07,19
Poblenou,2019-04-24 08,32
Poblenou,2019-04-24 09,5
Poblenou,2019-04-24 10,24
Poblenou,2019-04-24 11,29
Poblenou,2019-04-24 12,48
Poblenou,2019-04-24 13,63
Poblenou,2019-04-24 14,54
Poblenou,2019-04-24 15,57
Poblenou,2019-04-24 16,63
Poblenou,2019-04-24 17,59
Poblenou,2019-04-24 18,59
Poblenou,2019-04-24 19,56
Poblenou,2019-04-24 20,39
Poblenou,2019-04-24 21,40
Poblenou,2019-04-24 22,44
Poblenou,2019-04-24 23,36
Poblenou,2019-04-24 24,34
